Easy,Medium,Difficult
0,0,0
2,0,0
2,0,0
0,0,0
0,0,1
2,0,0
0,0,0
0,1,0
0,0,0
19,1,0
20,0,0
20,0,0
20,0,0
0,0,0
20,0,0
21,0,0
0,0,0
0,0,0
1,0,0
18,2,0
20,0,0
0,0,0
20,0,0
7,1,0
5,0,1
2,1,1
0,0,0
3,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
6,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
0,0,0
0,0,0
0,0,0
3,0,0
0,0,0
2,1,0
0,0,0
0,0,0
0,0,0
3,0,0
15,0,0
4,0,0
20,0,0
21,0,0
0,0,0
21,0,0
21,0,0
20,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
4,0,0
